Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps
Running,5/29/20 18:32,Ocean City Running,6,466,0:48:03,126,159,170,180,8:00,6:24,34,34,1.19,00:01.9,7
Running,5/27/20 17:55,Cherry Hill Running,5,506,0:36:25,155,165,176,182,7:17,6:29,133,138,1.26,07:00.5,5
Running,5/26/20 17:26,Cherry Hill Running,6,610,0:42:22,158,175,174,184,7:04,0:33,180,183,1.31,06:53.4,6
Running,5/25/20 15:09,Cherry Hill Running,6,592,0:43:20,149,173,174,182,7:13,6:19,178,185,1.28,00:01.4,7
Running,5/24/20 15:25,Cherry Hill Running,3.91,375,0:29:06,142,158,174,180,7:27,6:38,116,122,1.25,06:38.9,4
Running,5/23/20 17:03,Cherry Hill Running,3.57,296,0:25:37,132,142,174,180,7:10,5:33,96,101,1.29,03:21.5,4
Running,5/22/20 17:49,Cherry Hill Running,5.3,498,0:40:47,140,158,174,180,7:42,6:45,146,150,1.2,02:16.7,6
Running,5/21/20 17:19,Cherry Hill Running,6,609,0:45:27,149,161,172,180,7:35,6:24,183,185,1.23,07:29.0,6
Running,5/19/20 17:42,Cherry Hill Running,6,561,0:44:03,143,150,172,180,7:20,6:11,189,193,1.27,00:01.1,7
Running,5/18/20 18:07,Cherry Hill Running,3,274,0:23:55,135,148,172,180,7:58,7:04,87,82,1.18,00:01.6,4
Running,5/17/20 17:11,Cherry Hill Running,6.22,584,0:45:48,147,160,168,176,7:22,6:28,191,192,1.29,01:41.2,7
Running,5/15/20 17:06,Cherry Hill Running,2.59,256,0:20:56,142,158,170,178,8:05,6:54,92,95,1.16,05:16.2,3
Running,5/14/20 17:11,Cherry Hill Running,6.15,602,0:47:36,146,166,170,176,7:44,7:00,208,213,1.23,01:11.7,7
Running,5/12/20 16:54,Cherry Hill Running,5.01,477,0:37:45,146,158,170,180,7:32,6:50,142,134,1.25,00:05.3,6
Running,5/11/20 17:10,Cherry Hill Running,6.08,629,0:45:50,155,161,170,178,7:32,6:18,189,195,1.26,00:40.9,7
Running,5/10/20 18:25,Cherry Hill Running,4,396,0:30:22,148,159,170,198,7:35,6:51,144,148,1.24,00:01.8,5
Running,5/8/20 17:39,Cherry Hill Running,3.1,315,0:24:32,145,155,174,178,7:55,7:18,76,84,1.17,00:48.8,4
Running,5/7/20 17:00,Cherry Hill Running,5.5,525,0:38:52,153,173,170,178,7:04,6:31,182,186,1.33,03:30.7,6
Running,5/5/20 17:37,Cherry Hill Running,5,471,0:36:45,146,157,170,178,7:21,6:37,130,133,1.28,00:00.6,6
Running,5/4/20 16:55,Cherry Hill Running,5.01,516,0:37:57,152,161,170,178,7:35,6:59,148,152,1.26,00:03.2,6
Running,5/1/20 15:03,Cherry Hill Running,5.35,534,0:39:23,151,169,170,178,7:21,6:38,137,143,1.28,02:34.1,6
Running,4/29/20 16:59,Cherry Hill Running,5.43,523,0:40:40,146,172,170,176,7:29,6:25,133,136,1.26,03:12.6,6
Running,4/28/20 17:03,Cherry Hill Running,5,492,0:37:39,147,160,168,176,7:32,6:48,164,167,1.26,00:01.8,6
Running,4/27/20 16:43,Cherry Hill Running,5.01,414,0:36:32,136,166,170,180,7:18,6:30,144,149,1.3,00:08.1,6
Running,4/25/20 17:25,Cherry Hill Running,7,718,0:52:52,154,181,170,178,7:33,4:58,269,261,1.26,00:02.7,8
Running,4/23/20 16:38,Cherry Hill Running,4,372,0:30:22,139,160,168,176,7:36,6:45,118,124,1.26,07:23.3,4
Running,4/21/20 17:10,Cherry Hill Running,4.12,391,0:31:25,142,161,170,176,7:37,6:07,171,177,1.24,00:55.2,5
Running,4/20/20 17:46,Cherry Hill Running,6,614,0:44:42,151,166,170,176,7:27,6:40,214,208,1.27,00:01.8,7
Running,4/19/20 16:48,Cherry Hill Running,3.19,317,0:24:30,143,152,170,176,7:42,6:29,93,98,1.23,01:29.2,4
Running,4/17/20 17:20,Cherry Hill Running,3.02,294,0:22:16,145,157,172,178,7:23,6:25,113,106,1.27,00:06.9,4
Running,4/16/20 17:34,Cherry Hill Running,4.33,377,0:30:44,141,151,172,188,7:06,5:26,146,150,1.31,02:05.7,5
Running,4/15/20 14:58,Cherry Hill Running,3.04,289,0:22:59,144,168,170,176,7:33,6:40,97,103,1.26,00:19.8,4
Running,4/14/20 17:22,Cherry Hill Running,5.09,489,0:36:46,155,173,170,178,7:14,5:13,135,139,1.32,00:30.8,6
Running,4/12/20 11:02,Cherry Hill Running,6.01,608,0:46:31,152,170,168,174,7:45,6:48,191,186,1.24,00:02.6,7
Running,4/10/20 16:56,Cherry Hill Running,3.01,284,0:23:14,143,152,170,180,7:44,5:50,112,118,1.23,00:02.9,4
Running,4/9/20 18:01,Cherry Hill Running,3.3,306,0:25:19,144,158,172,180,7:41,6:25,100,107,1.22,02:13.6,4
Running,4/8/20 16:18,Cherry Hill Running,4,409,0:31:37,151,162,170,178,7:54,7:04,132,135,1.2,00:01.4,5
Running,4/7/20 17:30,Cherry Hill Running,4.42,437,0:33:54,151,162,168,174,7:40,4:01,188,173,1.25,03:20.0,5
Running,4/4/20 16:27,Cherry Hill Running,5.42,540,0:42:58,148,173,170,178,7:56,5:36,174,181,1.19,03:06.1,6
Running,4/2/20 16:13,Cherry Hill Running,3.7,319,0:28:10,137,148,170,176,7:37,6:23,81,88,1.25,05:17.2,4
Running,4/1/20 16:44,Cherry Hill Running,4.28,400,0:32:46,148,175,168,174,7:40,6:28,106,111,1.25,02:07.2,5
Running,3/31/20 17:22,Cherry Hill Running,4.8,496,0:39:06,152,161,170,180,8:09,7:02,146,150,1.17,06:38.3,5
Running,3/29/20 16:27,Cherry Hill Running,4,383,0:29:25,157,183,170,176,7:21,6:18,143,149,1.29,00:02.0,5
Running,3/27/20 15:46,Cherry Hill Running,3.02,285,0:22:18,156,168,170,176,7:24,6:25,86,91,1.28,00:06.2,4
Running,3/26/20 16:47,Cherry Hill Running,4.63,464,0:36:24,156,175,168,176,7:51,6:49,149,155,1.22,04:38.0,5
Running,3/25/20 17:08,Cherry Hill Running,2.02,189,0:15:41,146,153,170,180,7:47,6:21,89,79,1.22,00:06.9,3
Running,3/24/20 18:07,Cherry Hill Running,3.1,316,0:23:49,161,176,168,174,7:41,6:30,79,85,1.25,00:49.6,4
Running,3/22/20 17:26,Cherry Hill Running,3.03,316,0:23:24,160,169,168,176,7:43,7:01,79,85,1.24,00:15.3,4
Running,3/20/20 16:02,Cherry Hill Running,2,208,0:15:45,155,162,170,176,7:52,7:19,46,52,1.21,00:01.4,3
Running,3/19/20 16:58,Cherry Hill Running,3.5,365,0:26:33,159,176,168,176,7:36,6:43,101,101,1.26,03:57.3,4
Running,3/18/20 17:11,Cherry Hill Running,1.2,58,09:18.1,102,140,170,178,7:46,5:43,19,3,1.21,01:38.3,2
Running,2/22/20 10:19,Chicago Running,4,379,0:29:14,151,174,170,176,7:18,4:52,60,59,1.29,00:01.7,5
Running,1/30/20 12:34,Chicago Running,3,285,0:22:06,150,164,172,178,7:22,2:24,54,52,1.27,07:13.7,3
Running,11/16/19 11:26,Chicago Running,3.1,281,0:21:53,149,157,174,180,7:04,5:22,46,46,1.32,00:42.1,4
Running,11/3/19 15:38,Chicago Running,5.58,581,0:43:26,154,164,170,178,7:47,6:29,77,82,1.22,04:35.4,6
Running,11/2/19 11:25,Chicago Running,5,530,0:39:57,151,187,172,180,8:00,4:13,67,68,1.17,07:54.3,5
Running,10/24/19 17:04,Chicago Running,3.18,344,0:24:12,157,165,172,180,7:36,1:31,31,30,1.23,01:23.8,4
Running,10/19/19 9:52,Chicago Running,4.3,417,0:36:54,134,151,170,180,8:35,5:54,46,46,1.11,02:37.5,5
Running,10/7/19 10:37,Chicago Running,4.03,388,0:28:24,152,166,174,182,7:03,4:32,51,52,1.32,00:12.3,5
Running,10/6/19 12:33,Chicago Running,3.1,305,0:23:00,147,160,174,182,7:25,6:14,48,55,1.25,00:44.9,4
Running,10/3/19 17:04,Chicago Running,2.52,220,0:17:04,146,179,172,182,6:47,5:13,17,20,1.38,03:53.4,3
Running,10/1/19 16:46,Chicago Running,4,400,0:28:50,152,166,172,180,7:13,4:57,45,45,1.29,07:05.1,4
Running,9/30/19 12:26,Chicago Running,2.5,227,0:17:34,143,150,176,182,7:02,5:56,21,28,1.3,03:31.9,3
Running,9/28/19 17:31,Chicago Running,4.01,371,0:27:07,153,166,174,182,6:46,2:52,40,40,1.36,00:03.1,5
Running,9/26/19 9:12,Chicago Running,4.01,379,0:28:33,149,163,176,184,7:08,6:28,49,53,1.29,00:02.1,5
Running,9/24/19 18:16,Chicago Running,5.01,479,0:35:14,152,163,174,184,7:02,5:24,64,66,1.31,00:02.1,6
Running,9/23/19 8:39,Chicago Running,3.02,284,0:21:06,151,163,178,184,6:59,4:20,45,48,1.3,00:08.1,4
Running,9/20/19 17:08,Cherry Hill Running,3,293,0:22:54,142,156,176,184,7:38,6:57,101,106,1.2,00:02.1,4
Running,9/19/19 18:13,Cherry Hill Running,3.22,279,0:22:05,142,156,174,180,6:52,3:19,43,47,1.34,01:30.7,4
Running,9/18/19 17:05,Cherry Hill Running,5.01,456,0:35:33,147,161,174,182,7:06,6:28,192,182,1.31,00:04.2,6
Running,9/17/19 17:47,Cherry Hill Running,5,475,0:36:00,152,168,174,182,7:12,6:20,138,142,1.28,00:00.6,6
Running,9/16/19 17:57,Cherry Hill Running,5.01,479,0:37:20,149,163,174,180,7:28,6:08,163,156,1.25,00:02.1,6
Running,9/15/19 17:08,Cherry Hill Running,4,388,0:29:32,152,176,172,198,7:23,4:32,124,127,1.27,00:02.1,5
Running,9/14/19 17:10,Cherry Hill Running,3.5,345,0:25:47,152,173,174,180,7:22,6:31,117,109,1.26,03:40.1,4
Running,9/13/19 15:59,Cherry Hill Running,4,386,0:28:56,153,168,172,180,7:14,6:30,100,104,1.3,00:01.6,5
Running,9/11/19 17:49,Cherry Hill Running,3.49,334,0:26:20,152,171,172,178,7:32,6:29,107,108,1.25,03:41.5,4
Running,9/10/19 18:26,Cherry Hill Running,4,376,0:28:31,156,175,170,178,7:07,6:07,123,119,1.33,00:01.8,5
Running,9/9/19 17:24,Cherry Hill Running,5,452,0:36:25,149,173,170,180,7:17,4:07,179,187,1.31,00:01.3,6
Running,9/8/19 19:16,Cherry Hill Running,4,356,0:29:10,145,156,170,178,7:17,5:57,136,129,1.29,00:01.8,5
Running,9/5/19 17:55,Cherry Hill Running,4,371,0:29:53,148,165,172,180,7:28,5:47,152,143,1.26,00:01.4,5
Running,8/30/19 11:05,Cherry Hill Running,2.04,190,0:15:09,149,162,174,180,7:26,6:41,63,68,1.25,00:18.7,3
Running,8/28/19 17:49,Ocean City Running,4.5,455,0:35:56,148,166,168,174,7:59,6:23,13,13,1.2,03:58.5,5
Running,8/24/19 19:48,Cherry Hill Running,0.78,63,05:57.7,129,150,170,212,7:41,3:59,7,7,1.23,00:00.0,1
Running,8/24/19 19:27,Cherry Hill Running,0.74,74,07:51.0,121,128,162,168,10:35,8:37,12,12,0.94,00:00.0,1
Running,8/19/19 8:36,Cherry Hill Running,2.45,226,0:19:55,136,165,170,176,8:07,1:44,29,59,1.17,03:29.1,3
Running,8/16/19 17:24,Cherry Hill Running,4.01,355,0:27:12,154,174,174,180,6:47,5:21,128,133,1.37,00:01.8,5
Running,8/14/19 19:23,Voorhees Running,4,371,0:28:46,151,173,172,180,7:11,6:17,110,109,1.3,00:01.3,5
Running,8/13/19 21:05,Cherry Hill Running,3,261,0:23:18,136,151,170,178,7:46,6:36,107,112,1.22,00:00.9,4
Running,8/12/19 19:15,Pennsauken Running,6.52,594,0:48:42,147,162,170,178,7:28,6:34,115,116,1.26,03:55.3,7
Running,8/10/19 17:24,Cherry Hill Running,5.16,471,0:41:12,141,159,170,180,7:59,6:25,135,142,1.19,01:23.7,6
Running,8/9/19 19:31,Cherry Hill Running,6.26,573,0:46:15,150,175,170,182,7:24,6:04,306,315,1.27,01:52.3,7
Running,8/8/19 17:58,Cherry Hill Running,3.01,249,0:21:40,142,171,172,182,7:12,6:03,103,106,1.3,00:04.1,4
Running,8/6/19 18:19,Cherry Hill Running,5,452,0:37:56,146,178,172,180,7:35,6:18,130,134,1.24,00:02.1,6
Running,8/4/19 18:36,Cherry Hill Running,6.5,582,0:46:59,153,174,172,182,7:14,6:23,262,263,1.29,03:40.2,7
Running,8/3/19 16:36,Anne Arundel County Running,4,345,0:27:26,156,178,172,182,6:51,5:10,73,72,1.36,00:00.9,5
Running,8/2/19 17:09,Anne Arundel County Running,3.68,318,0:30:34,137,158,168,176,8:18,5:09,97,97,1.15,05:43.1,4
Running,7/31/19 18:55,Cherry Hill Running,7.15,687,0:52:14,163,170,170,188,7:18,4:31,238,244,1.29,00:50.4,8
Running,7/30/19 8:27,Cherry Hill Running,4.5,398,0:37:30,138,156,170,178,8:20,7:14,118,122,1.14,04:00.5,5
Running,7/29/19 18:46,Voorhees Running,6,562,0:45:24,155,181,170,180,7:34,6:07,195,205,1.25,00:01.6,7
Running,7/27/19 10:12,Cherry Hill Running,5,470,0:36:25,160,183,174,182,7:17,5:34,229,225,1.27,00:01.5,6
Running,7/26/19 18:42,Cherry Hill Running,4,364,0:30:11,152,168,172,184,7:32,5:44,154,159,1.23,00:02.0,5
Running,7/25/19 18:52,Cherry Hill Running,6,523,0:43:30,154,171,172,178,7:15,5:51,107,107,1.3,00:01.5,7
Running,7/23/19 9:45,Cherry Hill Running,5,549,0:36:02,177,188,172,182,7:12,5:08,121,127,1.3,00:01.1,6
Running,7/22/19 10:57,Cherry Hill Running,4,381,0:28:00,163,180,172,182,7:00,3:47,125,130,1.33,00:01.2,5
Running,7/21/19 9:08,Cherry Hill Running,4.02,465,0:28:32,176,187,174,184,7:06,6:04,105,115,1.3,00:08.4,5
Running,7/19/19 19:41,Cherry Hill Running,4.01,432,0:30:53,153,174,170,178,7:43,6:32,118,114,1.23,00:02.7,5
Running,7/18/19 18:19,Cherry Hill Running,4.01,381,0:32:58,146,166,168,174,8:14,6:40,171,171,1.16,00:02.4,5
Running,7/16/19 18:32,Cherry Hill Running,4,429,0:31:30,159,178,170,176,7:52,6:34,70,70,1.21,00:01.3,5
Running,5/5/19 14:33,Allentown Running,2,128,0:13:43,128,142,182,188,6:51,4:21,63,61,1.29,00:02.0,3
Running,5/5/19 9:57,Allentown Running,2.05,149,0:14:28,133,146,184,194,7:04,1:18,47,35,1.23,00:23.7,3
Running,5/4/19 11:15,Allentown Running,5,339,0:39:05,129,160,176,184,7:49,6:10,170,176,1.17,00:00.9,6
Running,5/3/19 19:15,Allentown Running,1.93,158,0:17:50,126,137,168,182,9:14,7:39,3,3,1.04,08:18.5,2
Running,5/3/19 17:37,Allentown Running,2.23,150,0:15:18,132,142,184,196,6:52,5:37,125,120,1.27,01:29.4,3
Running,5/3/19 10:22,Running,6.21,--,0:32:02,--,--,--,--,5:09,--,--,--,0,00:00.0,1
Running,5/2/19 16:55,Baltimore Running,7.01,483,0:49:59,137,155,178,214,7:08,4:02,363,360,1.27,00:03.2,8
Running,5/1/19 11:44,Baltimore Running,9,473,1:00:46,126,186,182,194,6:45,4:55,353,348,1.31,00:02.5,10
Running,4/30/19 17:55,Baltimore Running,4.04,328,0:27:59,146,162,180,192,6:56,6:05,182,142,1.29,00:15.8,5
Running,4/30/19 17:20,Baltimore Running,0.79,81,06:31.1,145,152,168,208,8:14,7:26,43,46,1.16,00:00.0,1
Running,4/30/19 17:13,Baltimore Running,1.03,73,05:14.4,163,181,188,208,5:06,3:50,37,43,1.67,00:06.4,2
Running,4/30/19 17:04,Baltimore Running,1.03,72,05:14.8,160,182,188,204,5:05,3:52,39,52,1.68,00:07.5,2
Running,4/30/19 16:39,Baltimore Running,2.11,153,0:13:53,138,168,178,192,6:34,4:19,88,125,1.37,00:30.2,3
Running,4/29/19 9:13,Baltimore Running,10.01,637,1:06:14,138,158,182,192,6:37,5:01,748,739,1.34,00:03.5,11
Running,4/28/19 9:48,Baltimore Running,14.35,"1,002",1:34:29,156,194,180,194,6:35,4:48,781,779,1.35,02:10.5,15
Running,4/27/19 10:37,Baltimore Running,10,764,1:07:33,148,165,176,188,6:45,1:55,573,571,1.35,06:23.7,10
Running,4/25/19 11:22,Baltimore Running,4.02,311,0:29:04,138,176,176,192,7:13,5:57,227,234,1.26,00:13.6,5
Running,4/25/19 10:48,Baltimore Running,2.13,139,0:15:48,125,152,176,186,7:24,6:14,100,94,1.23,00:59.4,3
Running,4/24/19 6:35,Baltimore Running,12.01,752,1:21:00,138,174,176,188,6:45,5:26,764,764,1.35,00:02.7,13
Running,4/23/19 17:41,Baltimore Running,0.96,93,09:38.8,128,158,166,192,10:03,7:51,82,38,0.96,00:00.0,1
Running,4/23/19 17:27,Baltimore Running,0.73,69,04:44.6,164,184,172,232,6:32,3:25,20,19,1.43,00:00.0,1
Running,4/23/19 16:54,Baltimore Running,5.06,415,0:27:28,173,193,182,198,5:25,4:08,178,196,1.63,00:18.8,6
Running,4/23/19 16:28,Baltimore Running,2.07,143,0:13:35,134,161,180,188,6:35,4:41,89,125,1.37,00:18.6,3
Running,4/22/19 16:41,Baltimore Running,4.03,304,0:27:38,140,149,178,188,6:52,5:27,196,189,1.31,00:10.1,5
Running,4/22/19 9:11,Baltimore Running,10.09,638,1:07:13,138,160,180,192,6:40,5:48,535,544,1.34,00:36.3,11
Running,4/21/19 10:24,Cherry Hill Running,8.01,590,0:52:51,145,162,178,190,6:36,5:41,179,183,1.37,00:03.0,9
Running,4/20/19 20:10,Running,0.93,--,0:04:10,--,--,--,--,4:28,--,--,--,0,00:00.0,1
Running,4/20/19 11:51,Chester Running,4.68,430,0:33:09,158,179,176,192,7:05,5:02,187,208,1.29,03:55.6,5
Running,4/20/19 10:42,Chester Running,2.47,251,0:17:39,163,184,178,190,7:08,3:51,114,98,1.27,03:04.9,3
Running,4/19/19 11:55,Baltimore Running,7.02,503,0:50:35,137,159,176,198,7:12,4:01,352,344,1.27,00:06.8,8
Running,4/18/19 17:07,Baltimore Running,4.13,383,0:31:13,148,158,176,186,7:33,5:46,195,157,1.2,00:59.2,5
Running,4/18/19 16:50,Baltimore Running,1.84,165,0:12:23,152,175,178,216,6:43,3:34,65,71,1.35,05:43.8,2
Running,4/18/19 16:28,Baltimore Running,2.1,162,0:14:32,138,153,178,186,6:55,4:55,93,129,1.31,00:29.9,3
Running,4/17/19 15:47,Running,9,--,1:02:00,--,--,--,--,6:53,--,--,--,0,00:00.0,1
Running,4/16/19 15:45,Running,9,--,1:03:00,--,--,--,--,7:00,--,--,--,0,00:00.0,1
Running,4/15/19 9:13,Baltimore Running,9,571,1:02:28,135,158,180,194,6:56,5:45,838,842,1.29,00:01.6,10
Running,4/14/19 11:29,Baltimore Running,16.08,"1,060",1:51:34,145,189,180,192,6:56,5:24,962,959,1.3,00:33.7,17
Running,4/13/19 21:28,Running,6.2,--,0:31:38,--,--,--,--,5:06,--,--,--,0,00:00.0,1
Running,4/13/19 20:15,East Buffalo Running,2,175,0:16:51,134,141,170,184,8:25,5:21,4,7,1.12,00:02.2,3
Running,4/13/19 18:29,East Buffalo Running,2.48,211,0:16:54,146,171,178,192,6:49,4:51,124,125,1.34,03:00.9,3
Running,4/13/19 13:06,East Buffalo Running,2.01,156,0:14:15,136,154,180,190,7:06,6:10,61,58,1.27,00:02.0,3
Running,4/12/19 17:05,Baltimore Running,7.07,447,0:49:11,134,156,180,204,6:57,3:59,406,399,1.28,00:20.7,8
Running,4/11/19 16:32,Baltimore Running,10,641,1:07:56,137,185,180,194,6:48,4:36,891,890,1.32,06:33.4,10
Running,4/11/19 10:43,Baltimore Running,4.06,264,0:27:42,132,153,182,194,6:50,3:47,282,272,1.29,00:24.5,5
Running,4/10/19 9:16,Baltimore Running,10.02,677,1:08:24,142,161,180,192,6:50,5:44,400,397,1.31,00:08.3,11
Running,4/9/19 17:42,Baltimore Running,3.78,379,0:27:37,159,179,178,202,7:18,6:11,173,142,1.23,05:50.5,4
Running,4/9/19 17:23,Baltimore Running,1,92,06:08.2,170,187,178,214,6:10,3:53,46,61,1.47,00:00.0,1
Running,4/9/19 16:58,Baltimore Running,3.83,240,0:19:16,147,176,188,196,5:02,4:36,153,154,1.7,04:15.4,4
Running,4/9/19 16:31,Baltimore Running,2.08,168,0:13:45,145,163,182,194,6:36,5:04,73,118,1.34,00:25.4,3
Running,4/8/19 16:40,Baltimore Running,3.75,230,0:29:07,121,192,178,192,7:46,4:32,177,177,1.17,05:18.0,4
Running,4/8/19 9:34,Baltimore Running,7.24,497,0:49:55,138,157,182,196,6:53,5:55,405,399,1.27,01:40.4,8
Running,4/7/19 11:11,Baltimore Running,16.01,"1,070",1:52:31,143,166,178,188,7:02,4:58,862,864,1.29,00:05.9,17
Running,4/6/19 18:24,Baltimore Running,9.72,605,1:08:46,134,175,176,182,7:05,5:27,783,799,1.29,05:07.0,10
Running,4/4/19 16:28,Baltimore Running,10.1,592,1:08:53,134,193,180,194,6:49,4:52,477,470,1.32,00:41.5,11
Running,4/3/19 16:48,Baltimore Running,4.04,257,0:27:47,132,150,182,192,6:53,5:59,291,287,1.29,00:14.9,5
Running,4/3/19 9:15,Baltimore Running,10,630,1:20:19,128,174,174,184,8:02,6:06,468,474,1.15,00:01.9,11
Running,4/2/19 17:52,Baltimore Running,1.48,150,0:15:50,129,162,166,180,10:44,7:46,97,58,0.9,05:24.0,2
Running,4/2/19 17:39,Baltimore Running,1.01,72,07:09.5,131,143,178,214,7:07,3:39,27,37,1.27,00:04.3,2
Running,4/2/19 17:29,Baltimore Running,1.05,38,04:30.6,121,140,202,208,4:17,3:51,38,38,1.86,00:12.9,2
Running,4/2/19 17:24,Baltimore Running,0.65,30,02:59.2,130,147,194,198,4:34,4:21,27,42,1.81,00:00.0,1
Running,4/2/19 17:18,Baltimore Running,0.65,29,02:58.2,129,136,196,198,4:34,4:21,26,42,1.8,00:00.0,1
Running,4/2/19 17:13,Baltimore Running,0.66,21,02:58.0,113,119,196,200,4:30,3:51,26,45,1.82,00:00.0,1
